epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,2511.12,0.72905,1.08646,1.14315,0.66654,0.63542,0.7205,0.55446,0.9055,1.47655,1.32791,0.000608468,0.000608468,0.000608468
31,2576.8,0.61931,1.00943,1.07328,0.62255,0.60913,0.69683,0.55795,0.88636,1.49202,1.33216,0.000580174,0.000580174,0.000580174
32,2651.57,0.72784,1.11683,1.11954,0.70171,0.62936,0.75831,0.60078,0.87193,1.24626,1.29588,0.00055188,0.00055188,0.00055188
33,2734.94,0.62525,1.0265,1.07678,0.83789,0.62203,0.74414,0.57532,0.84401,1.26834,1.26741,0.000523586,0.000523586,0.000523586
34,2813.09,0.69682,1.02591,1.12775,0.77833,0.51512,0.64428,0.47713,0.8363,1.30066,1.2591,0.000495291,0.000495291,0.000495291
35,2894.3,0.62421,0.95164,1.07677,0.7464,0.54914,0.65605,0.50327,0.82169,1.18087,1.26374,0.000466997,0.000466997,0.000466997
36,2972.29,0.63154,0.97931,1.08635,0.89845,0.64828,0.7461,0.59522,0.81987,1.13265,1.24215,0.000438703,0.000438703,0.000438703
37,3052.89,0.61992,0.90577,1.04021,0.88702,0.67915,0.76871,0.60828,0.82093,1.08547,1.23988,0.000410409,0.000410409,0.000410409
38,3132.39,0.5988,0.94573,1.06397,0.88722,0.61166,0.7772,0.60895,0.80791,1.09114,1.23175,0.000382115,0.000382115,0.000382115
39,3214.66,0.59773,0.94995,1.05804,0.88183,0.65666,0.74145,0.60751,0.77578,1.08236,1.22324,0.00035382,0.00035382,0.00035382
40,3295.22,0.63356,0.95035,1.07633,0.81229,0.68383,0.74994,0.60957,0.78037,1.05393,1.22077,0.000325526,0.000325526,0.000325526
41,3370.93,0.65324,1.0495,1.11319,0.83852,0.67063,0.7601,0.62062,0.7817,1.07646,1.19284,0.000297232,0.000297232,0.000297232
42,3445.56,0.60105,0.91623,1.08729,0.83316,0.63397,0.78339,0.63238,0.82337,1.26788,1.2076,0.000268938,0.000268938,0.000268938
43,3509.04,0.6191,0.93413,1.06126,0.82722,0.76197,0.85233,0.69626,0.84795,1.359,1.21159,0.000240644,0.000240644,0.000240644
44,3580.45,0.59312,0.92667,1.05093,0.83799,0.70903,0.86846,0.70907,0.82587,1.2036,1.19756,0.000212349,0.000212349,0.000212349
45,3644.69,0.57099,0.88949,1.06663,0.77688,0.79123,0.8872,0.72073,0.78758,1.10809,1.1812,0.000184055,0.000184055,0.000184055
46,3709.83,0.57471,0.85217,1.03387,0.84547,0.74508,0.87361,0.7097,0.76628,1.01263,1.1781,0.000155761,0.000155761,0.000155761
47,3777.67,0.5534,0.81899,1.0358,0.88986,0.7721,0.86051,0.70806,0.7656,0.98316,1.18412,0.000127467,0.000127467,0.000127467
48,3850.01,0.50852,0.75574,0.98349,0.90923,0.76204,0.85162,0.69669,0.77983,1.00531,1.19137,9.91726e-05,9.91726e-05,9.91726e-05
49,3924.25,0.54518,0.78224,1.02392,0.90443,0.75897,0.85309,0.69828,0.78674,1.01814,1.2015,7.08784e-05,7.08784e-05,7.08784e-05
50,4002.38,0.53136,0.7677,1.01491,0.91137,0.75953,0.85172,0.69725,0.80298,1.02206,1.22003,4.25842e-05,4.25842e-05,4.25842e-05
